,Year,City,Sport,Discipline,Athlete,Country,Gender,Medal
0,1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,Gold
1,1896,Athens,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,Silver
2,1896,Athens,Aquatics,Swimming,"DRIVAS, Dimitrios",GRE,Men,Bronze
3,1896,Athens,Aquatics,Swimming,"MALOKINIS, Ioannis",GRE,Men,Gold
4,1896,Athens,Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,Men,Silver
5,1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,Bronze
6,1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,Gold
7,1896,Athens,Aquatics,Swimming,"ANDREOU, Joannis",GRE,Men,Silver
8,1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,Bronze
9,1896,Athens,Aquatics,Swimming,"NEUMANN, Paul",AUT,Men,Gold
10,1896,Athens,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,Silver
11,1896,Athens,Athletics,Athletics,"LANE, Francis",USA,Men,Bronze
12,1896,Athens,Athletics,Athletics,"SZOKOLYI, Alajos",HUN,Men,Bronze
13,1896,Athens,Athletics,Athletics,"BURKE, Thomas",USA,Men,Gold
14,1896,Athens,Athletics,Athletics,"HOFMANN, Fritz",GER,Men,Silver
15,1896,Athens,Athletics,Athletics,"CURTIS, Thomas",USA,Men,Gold
16,1896,Athens,Athletics,Athletics,"GOULDING, Grantley",GBR,Men,Silver
17,1896,Athens,Athletics,Athletics,"LERMUSIAUX, Albin",FRA,Men,Bronze
18,1896,Athens,Athletics,Athletics,"FLACK, Edwin",AUS,Men,Gold
19,1896,Athens,Athletics,Athletics,"BLAKE, Arthur",USA,Men,Silver
20,1896,Athens,Athletics,Athletics,"GMELIN, Charles",GBR,Men,Bronze
21,1896,Athens,Athletics,Athletics,"BURKE, Thomas",USA,Men,Gold
22,1896,Athens,Athletics,Athletics,"JAMISON, Herbert",USA,Men,Silver
23,1896,Athens,Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,Men,Bronze
24,1896,Athens,Athletics,Athletics,"FLACK, Edwin",AUS,Men,Gold
25,1896,Athens,Athletics,Athletics,"DANI, Nandor",HUN,Men,Silver
26,1896,Athens,Athletics,Athletics,"VERSIS, Sotirios",GRE,Men,Bronze
27,1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,Gold
28,1896,Athens,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Men,Silver
29,1896,Athens,Athletics,Athletics,"CLARK, Ellery",USA,Men,Gold
30,1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,Silver
31,1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,Silver
32,1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,Bronze
33,1896,Athens,Athletics,Athletics,"CLARK, Ellery",USA,Men,Gold
34,1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,Silver
35,1896,Athens,Athletics,Athletics,"KELLNER, Gyula",HUN,Men,Bronze
36,1896,Athens,Athletics,Athletics,"LOUIS, Spyridon",GRE,Men,Gold
37,1896,Athens,Athletics,Athletics,"VASILAKOS, Kharilaos",GRE,Men,Silver
38,1896,Athens,Athletics,Athletics,"DAMASKOS, Evangelos",GRE,Men,Bronze
39,1896,Athens,Athletics,Athletics,"THEODOROPOULOS, Ioannis",GRE,Men,Bronze
40,1896,Athens,Athletics,Athletics,"HOYT, William Welles",USA,Men,Gold
41,1896,Athens,Athletics,Athletics,"TYLER, Albert",USA,Men,Silver
42,1896,Athens,Athletics,Athletics,"PAPASIDERIS, Georgios",GRE,Men,Bronze
43,1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,Gold
44,1896,Athens,Athletics,Athletics,"GOUSKOS, Miltiadis",GRE,Men,Silver
45,1896,Athens,Athletics,Athletics,"PERSAKIS, Ioannis",GRE,Men,Bronze
46,1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,Gold
47,1896,Athens,Athletics,Athletics,"TUFFERI, Alexandre",FRA,Men,Silver
